,CenturyLink,,,,,,,"Cincinnati Bell DSL",,,,,,,"Frontier DSL",,,,,,,Windstream,,,,,,,Charter,,,,,,,Comcast,,,,,,,Cox,,,,,,,Mediacom,,,,,,,Optimum,,,,,,,"Cincinnati Bell Fiber",,,,,,,"Frontier Fiber",,,,,,,Verizon,,,,,,,Total,,,,,,
"Tier (Mbps)","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N"
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86752624,0.95584208,2.8846336,2.8729152,0.07670658744299107,0.07670658744299107,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86752624,0.95584208,2.8846336,2.8729152,0.07670658744299107,0.07670658744299107,58
5,4.467625119999999,0.8935250239999999,4.8849084,5.054619199999999,1.1446745152909543,1.1446745152909543,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7946696,1.1589339199999997,5.827396,5.8433664,0.3050854605184413,0.3050854605184413,184,,,,,,,,5.59245048,1.118490096,5.686394,5.798886399999999,1.2046226471471484,1.2046226471471484,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65961568,1.131923136,5.797684799999999,5.8433664,0.9151444691766231,0.9151444691766231,282
10,9.774230560000001,0.977423056,9.8833184,8.794504,5.675265761523737,5.675265761523737,98,,,,,,,,,,,,,,,,,,,,,,11.195879759999999,1.119587976,11.3900592,11.4437872,0.6580920895210531,0.6580920895210531,130,11.5846392,1.15846392,11.6060968,11.591038399999999,1.2066186126335507,1.2066186126335507,90,9.570491039999999,0.957049104,9.6099792,9.5541568,0.3663454183466692,0.3663454183466692,79,11.16876,1.116876,11.4216512,11.078996,1.5890951018399821,1.5890951018399821,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94431408,0.994431408,11.1398736,9.5541568,2.8786626434202,2.8786626434202,438
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1557624,1.10778812,22.767349199999998,22.82676,1.866689136545669,1.866689136545669,106,,,,,,,,,,,,,,,22.346108,1.1173054,23.4246792,23.1685808,1.7910553493828736,1.7910553493828736,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.21730464,1.110865232,22.822152,22.82676,1.9775073891476362,1.9775073891476362,157
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.65017472,0.955005824,28.7535608,28.730196,2.8396328983353514,2.8396328983353514,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.65017472,0.955005824,28.7535608,28.730196,2.8396328983353514,2.8396328983353514,39
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.32959416,1.0094169759999998,35.643996,41.1920656,3.3885210369647645,3.3885210369647645,150,,,,,,,,,,,,,,,,,,,,,,35.32959416,1.0094169759999998,35.643996,41.1920656,3.3885210369647645,3.3885210369647645,150
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.04440288,1.2208880575999999,62.375294800000006,73.76768799999999,3.0774009094351866,3.0774009094351866,38,61.04440288,1.2208880575999999,62.375294800000006,73.76768799999999,3.0774009094351866,3.0774009094351866,38
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.70990048,0.9827986730666667,83.150464,74.59428319999999,7.632390208825608,7.632390208825608,53,83.21008239999999,1.1094677653333331,86.0756512,93.92666639999999,7.090639684545032,7.090639684545032,40,74.6034272,0.9947123626666667,85.75176799999998,93.92666639999999,7.5655921667115935,7.5655921667115935,93
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.63631767999999,1.0563631768,105.9771168,105.63457839999998,1.617260944383838,1.617260944383838,42,102.834008,1.02834008,115.11149599999999,115.4100624,8.867213295258868,8.867213295258868,41,115.67763296000001,1.1567763296000002,118.06439119999999,118.6098696,10.246173779218223,10.246173779218223,78,106.06693759999999,1.0606693759999999,115.4100624,105.63457839999998,9.404939274219464,9.404939274219464,161
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.8560928,1.0548487424,131.91704479999999,132.11148959999997,6.923505068841305,6.923505068841305,141,,,,,,,,,,,,,,,131.8560928,1.0548487424,131.91704479999999,132.11148959999997,6.923505068841305,6.923505068841305,141
500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Consistent speed Upload 70/70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CenturyLink,,,,,,,"Cincinnati Bell DSL",,,,,,,"Frontier DSL",,,,,,,Windstream,,,,,,,Charter,,,,,,,Comcast,,,,,,,Cox,,,,,,,Mediacom,,,,,,,Optimum,,,,,,,"Cincinnati Bell Fiber",,,,,,,"Frontier Fiber",,,,,,,Verizon,,,,,,,Total,,,,,,
"Tier (Mbps)","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N","Consistent Speed","C.S. % Advertised",Median,Mode,"Standard Error of Mean","Standard Deviation","Unweighted Valid N"
0.512,0.21898896,0.42771281250000004,0.36938079999999995,0.43996799999999997,0.15723820404371866,0.15723820404371866,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21898896,0.42771281250000004,0.36938079999999995,0.43996799999999997,0.15723820404371866,0.15723820404371866,50
0.768,0.614012,0.7994947916666666,0.6736279999999999,0.849112,0.10270395803386409,0.10270395803386409,56,0.5368624,0.6990395833333333,0.551816,0.5738392,0.09559106105619528,0.09559106105619528,49,,,,,,,,0.5869568000000001,0.7642666666666666,0.6142088,0.5916239999999999,0.1384899490127402,0.1384899490127402,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.572362,0.7452630208333333,0.6092975999999999,0.5916239999999999,0.1272569883856496,0.1272569883856496,170
