NAICS_CODE,TOP_CATEGORY,SUB_CATEGORY,TOTAL_POIS,ALL_POIS,OPENED_ON_PERCENT,CLOSED_ON_PERCENT,PHONE_FILL_RATE,OPEN_FILL_RATE
711211,Spectator Sports,Sports Teams and Clubs,5165,7952451,0.000000,0.050339,0.681510,0.255179
482111,Rail Transportation,Line-Haul Railroads,5101,7952451,0.010390,0.058224,0.454029,0.255636
445299,Specialty Food Stores,All Other Specialty Food Stores,4904,7952451,0.023246,0.101346,0.589927,0.538744
3399,Other Miscellaneous Manufacturing,,4850,7952451,0.013402,0.014227,0.715258,0.250928
448320,"Jewelry, Luggage, and Leather Goods Stores",Luggage and Leather Goods Stores,4755,7952451,0.004206,0.166772,0.793481,0.465615
562920,Remediation and Other Waste Management Services,Materials Recovery Facilities,4651,7952451,0.000000,0.123844,0.812083,0.338207
448150,Clothing Stores,Clothing Accessories Stores,4475,7952451,0.025251,0.159106,0.786816,0.682905
561622,Investigation and Security Services,Locksmiths,4147,7952451,0.000000,0.017844,0.941162,0.196286
441210,Other Motor Vehicle Dealers,Recreational Vehicle Dealers,4145,7952451,0.000000,0.116043,0.833052,0.589867
488119,Support Activities for Air Transportation,Other Airport Operations,4062,7952451,0.000000,0.000492,0.058838,0.004431
624110,Individual and Family Services,Child and Youth Services,3851,7952451,0.067515,0.051675,0.599844,0.009868
711310,"Promoters of Performing Arts, Sports, and Similar Events","Promoters of Performing Arts, Sports, and Similar Events with Facilities",3796,7952451,0.000000,0.106691,0.683351,0.341939
812921,Other Personal Services,Photofinishing Laboratories (except One-Hour),3783,7952451,0.000529,0.000000,0.948982,0.993127
813312,Social Advocacy Organizations,"Environment, Conservation and Wildlife Organizations",3783,7952451,0.000000,0.067936,0.858049,0.386201
441320,"Automotive Parts, Accessories, and Tire Stores",Tire Dealers,3706,7952451,0.047491,0.051538,0.665407,0.773610
811198,Automotive Repair and Maintenance,All Other Automotive Repair and Maintenance,3657,7952451,0.013672,0.060979,0.700027,0.895269
811430,Personal and Household Goods Repair and Maintenance,Footwear and Leather Goods Repair,3412,7952451,0.000000,0.172333,0.868992,0.485053
624221,"Community Food and Housing, and Emergency and Other Relief Services",Temporary Shelters,3340,7952451,0.000000,0.003892,0.071257,0.018563
712130,"Museums, Historical Sites, and Similar Institutions",Zoos and Botanical Gardens,3122,7952451,0.000000,0.067905,0.684177,0.328315
221111,"Electric Power Generation, Transmission and Distribution",Hydroelectric Power Generation,3038,7952451,0.000000,0.001317,0.006583,0.002962
611630,Other Schools and Instruction,Language Schools,3014,7952451,0.000000,0.107830,0.780358,0.476111
221112,"Electric Power Generation, Transmission and Distribution",Fossil Fuel Electric Power Generation,2996,7952451,0.000000,0.000334,0.007343,0.002003
713210,Gambling Industries,Casinos (except Casino Hotels),2972,7952451,0.003028,0.073351,0.611036,0.620458
713120,Amusement Parks and Arcades,Amusement Arcades,2957,7952451,0.004735,0.230639,0.835982,0.414609
541120,Legal Services,Offices of Notaries,2908,7952451,0.000000,0.041609,0.845942,0.240715
532490,Commercial and Industrial Machinery and Equipment Rental and Leasing,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,2900,7952451,0.083448,0.013793,0.712414,0.670345
315990,Apparel Accessories and Other Apparel Manufacturing,Apparel Accessories and Other Apparel Manufacturing,2883,7952451,0.000000,0.081165,0.826570,0.457510
443141,Electronics and Appliance Stores,Household Appliance Stores,2867,7952451,0.002093,0.170910,0.760028,0.420300
562119,Waste Collection,Other Waste Collection,2756,7952451,0.001814,0.047170,0.810232,0.367199
611210,Junior Colleges,Junior Colleges,2722,7952451,0.000000,0.000735,0.367377,0.017267
562991,Remediation and Other Waste Management Services,Septic Tank and Related Services,2658,7952451,0.000000,0.041384,0.914974,0.212942
713930,Other Amusement and Recreation Industries,Marinas,2609,7952451,0.000000,0.053277,0.785358,0.348409
624190,Individual and Family Services,Other Individual and Family Services,2363,7952451,0.000423,0.013542,0.747355,0.909860
423830,"Machinery, Equipment, and Supplies Merchant Wholesalers",Industrial Machinery and Equipment Merchant Wholesalers,2237,7952451,0.041574,0.016540,0.696468,0.480107
532310,General Rental Centers,General Rental Centers,2213,7952451,0.016719,0.004519,0.991414,0.999548
621112,Offices of Physicians,"Offices of Physicians, Mental Health Specialists",2086,7952451,0.044583,0.018217,0.402205,0.256951
