"MSA Code",,
"MSA Code",State,"MSA Name"
0600,"South Carolina","AUGUSTA-AIKEN (GA-SC)                                                                                                                                 "
1440,"South Carolina","CHARLESTON-NORTH CHARLESTON                                                                                                                           "
1520,"South Carolina","CHARLOTTE-GASTONIA-ROCK HILL (NC-SC)                                                                                                                  "
1760,"South Carolina","COLUMBIA                                                                                                                                              "
2655,"South Carolina","FLORENCE                                                                                                                                              "
3160,"South Carolina","GREENVILLE-SPARTANBURG-ANDERSON                                                                                                                       "
5330,"South Carolina","MYRTLE BEACH                                                                                                                                          "
8140,"South Carolina","SUMTER                                                                                                                                                "
6660,"South Dakota","RAPID CITY                                                                                                                                            "
7760,"South Dakota","SIOUX FALLS                                                                                                                                           "
1560,Tennessee,"CHATTANOOGA (TN-GA)                                                                                                                                   "
1660,Tennessee,"CLARKSVILLE-HOPKINSVILLE (TN-KY)                                                                                                                      "
3580,Tennessee,"JACKSON                                                                                                                                               "
3660,Tennessee,"JOHNSON CITY-KINGSPORT-BRISTOL (TN-VA)                                                                                                                "
3840,Tennessee,"KNOXVILLE                                                                                                                                             "
4920,Tennessee,"MEMPHIS (TN-AR-MS)                                                                                                                                    "
5360,Tennessee,"NASHVILLE                                                                                                                                             "
0040,Texas,"ABILENE                                                                                                                                               "
0320,Texas,"AMARILLO                                                                                                                                              "
0640,Texas,"AUSTIN-SAN MARCOS                                                                                                                                     "
0840,Texas,"BEAUMONT-PORT ARTHUR                                                                                                                                  "
1145,Texas,"BRAZORIA                                                                                                                                              "
1240,Texas,"BROWNSVILLE-HARLINGEN-SAN BENITO                                                                                                                      "
1260,Texas,"BRYAN-COLLEGE STATION                                                                                                                                 "
1880,Texas,"CORPUS CHRISTI                                                                                                                                        "
1920,Texas,"DALLAS                                                                                                                                                "
2320,Texas,"EL PASO                                                                                                                                               "
2800,Texas,"FORT WORTH-ARLINGTON                                                                                                                                  "
2920,Texas,"GALVESTON-TEXAS CITY                                                                                                                                  "
3360,Texas,"HOUSTON                                                                                                                                               "
3810,Texas,"KILLEEN-TEMPLE                                                                                                                                        "
4080,Texas,"LAREDO                                                                                                                                                "
4420,Texas,"LONGVIEW-MARSHALL                                                                                                                                     "
4600,Texas,"LUBBOCK                                                                                                                                               "
4880,Texas,"McALLEN-EDINBURG-MISSION                                                                                                                              "
5800,Texas,"ODESSA-MIDLAND                                                                                                                                        "
7200,Texas,"SAN ANGELO                                                                                                                                            "
7240,Texas,"SAN ANTONIO                                                                                                                                           "
7640,Texas,"SHERMAN-DENISON                                                                                                                                       "
8360,Texas,"TEXARKANA (TX)-TEXARKANA (AR)                                                                                                                         "
8640,Texas,"TYLER                                                                                                                                                 "
8750,Texas,"VICTORIA                                                                                                                                              "
8800,Texas,"WACO                                                                                                                                                  "
9080,Texas,"WICHITA FALLS                                                                                                                                         "
2620,Utah,"FLAGSTAFF (AZ-UT)                                                                                                                                     "
6520,Utah,"PROVO-OREM                                                                                                                                            "
7160,Utah,"SALT LAKE CITY-OGDEN                                                                                                                                  "
1305,Vermont,"BURLINGTON                                                                                                                                            "
1540,Virginia,"CHARLOTTESVILLE                                                                                                                                       "
1950,Virginia,"DANVILLE                                                                                                                                              "
