   ,CATEGORY,STATENAME,COUNT,
330,GOVERNMENT - PUBLIC,MICHIGAN,"4,693",
331,GOVERNMENT - PUBLIC,MINNESOTA,"3,516",
332,GOVERNMENT - PUBLIC,MISSISSIPPI,"2,190",
333,GOVERNMENT - PUBLIC,MISSOURI,"3,759",
334,GOVERNMENT - PUBLIC,MONTANA,831,
335,GOVERNMENT - PUBLIC,NEBRASKA,"2,111",
336,GOVERNMENT - PUBLIC,NEVADA,784,
337,GOVERNMENT - PUBLIC,NEW HAMPSHIRE,"1,033",
338,GOVERNMENT - PUBLIC,NEW JERSEY,"3,896",
339,GOVERNMENT - PUBLIC,NEW MEXICO,"1,322",
340,GOVERNMENT - PUBLIC,NEW YORK,"6,913",
341,GOVERNMENT - PUBLIC,NORTH CAROLINA,"4,435",
342,GOVERNMENT - PUBLIC,NORTH DAKOTA,759,
343,GOVERNMENT - PUBLIC,OHIO,"6,738",
344,GOVERNMENT - PUBLIC,OKLAHOMA,"2,112",
345,GOVERNMENT - PUBLIC,OREGON,"2,204",
346,GOVERNMENT - PUBLIC,PENNSYLVANIA,"5,951",
347,GOVERNMENT - PUBLIC,RHODE ISLAND,476,
348,GOVERNMENT - PUBLIC,SOUTH CAROLINA,"2,565",
349,GOVERNMENT - PUBLIC,SOUTH DAKOTA,"1,017",
350,GOVERNMENT - PUBLIC,TENNESSEE,"3,645",
351,GOVERNMENT - PUBLIC,TEXAS,"9,235",
352,GOVERNMENT - PUBLIC,UTAH,"1,046",
353,GOVERNMENT - PUBLIC,VERMONT,682,
354,GOVERNMENT - PUBLIC,VIRGINIA,"3,375",
355,GOVERNMENT - PUBLIC,WASHINGTON,"2,625",
356,GOVERNMENT - PUBLIC,WEST VIRGINIA,"1,237",
357,GOVERNMENT - PUBLIC,WISCONSIN,"4,471",
358,GOVERNMENT - PUBLIC,WYOMING,597,
359,HEALTH CARE SERVICES,ALABAMA,"22,772",
360,HEALTH CARE SERVICES,ALASKA,"4,723",
361,HEALTH CARE SERVICES,ARIZONA,"25,664",
362,HEALTH CARE SERVICES,ARKANSAS,"13,636",
363,HEALTH CARE SERVICES,CALIFORNIA,"171,027",
364,HEALTH CARE SERVICES,COLORADO,"27,600",
365,HEALTH CARE SERVICES,CONNECTICUT,"23,447",
366,HEALTH CARE SERVICES,DELAWARE,"5,064",
367,HEALTH CARE SERVICES,DISTRICT OF COLUMBIA,"5,160",
368,HEALTH CARE SERVICES,FLORIDA,"112,924",
369,HEALTH CARE SERVICES,GEORGIA,"45,540",
370,HEALTH CARE SERVICES,HAWAII,"9,740",
371,HEALTH CARE SERVICES,IDAHO,"9,911",
372,HEALTH CARE SERVICES,ILLINOIS,"78,078",
373,HEALTH CARE SERVICES,INDIANA,"36,045",
374,HEALTH CARE SERVICES,IOWA,"17,876",
375,HEALTH CARE SERVICES,KANSAS,"18,250",
376,HEALTH CARE SERVICES,KENTUCKY,"24,928",
